id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401628357,2024,3,regular,2024-09-14T16:45:00.000Z,False,True,False,False,,3838,Memorial Stadium,142,Missouri,SEC,fbs,27.0,"[3, 14, 7, 3]",0.8685557691100811,1803,1795.0,103,Boston College,ACC,fbs,21.0,"[7, 7, 0, 7]",0.13144423088991886,1462.0,1470.0,5.8006475504,,
401628358,2024,3,regular,2024-09-14T19:30:00.000Z,False,True,False,False,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,SEC,fbs,34.0,"[7, 14, 3, 10]",0.6258604373647714,1840,1848.0,2655,Tulane,American Athletic,fbs,19.0,"[0, 6, 7, 6]",0.37413956263522863,1569.0,1561.0,5.520590328,,
401628353,2024,3,regular,2024-09-14T19:30:00.000Z,False,True,False,True,,3634,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,20.0,"[0, 0, 14, 6]",0.005388908230321768,1497,1485.0,245,Texas A&M,SEC,fbs,33.0,"[10, 10, 13, 0]",0.9946110917696782,1677.0,1689.0,3.0084883856,,
401628351,2024,3,regular,2024-09-14T20:15:00.000Z,False,True,False,False,,3887,Razorback Stadium,8,Arkansas,SEC,fbs,37.0,"[3, 17, 7, 10]",0.49095215439732587,1446,1451.0,5,UAB,American Athletic,fbs,27.0,"[10, 10, 0, 7]",0.5090478456026741,1270.0,1265.0,6.8537612708,,
401628355,2024,3,regular,2024-09-14T22:30:00.000Z,False,True,False,False,,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,ACC,fbs,6.0,"[3, 3, 0, 0]",0.0003568256800009375,1424,1370.0,145,Ole Miss,SEC,fbs,40.0,"[20, 3, 7, 10]",0.999643174319999,1770.0,1824.0,3.1835106946,,
401628361,2024,3,regular,2024-09-14T23:00:00.000Z,False,True,False,False,,3910,DKR-Texas Memorial Stadium,251,Texas,SEC,fbs,56.0,"[14, 14, 14, 14]",0.9988848395909953,1991,2068.0,2636,UTSA,American Athletic,fbs,7.0,"[0, 7, 0, 0]",0.001115160409004723,1467.0,1390.0,2.909180873,,
401628362,2024,3,regular,2024-09-14T23:00:00.000Z,False,True,False,False,,4246,Center Parc Stadium,2247,Georgia State,Sun Belt,fbs,36.0,"[3, 9, 10, 14]",0.4064557580733251,1370,1371.0,238,Vanderbilt,SEC,fbs,32.0,"[0, 10, 0, 22]",0.5935442419266749,1313.0,1312.0,8.4948458307,,
401628354,2024,3,regular,2024-09-14T23:30:00.000Z,False,True,False,True,,3683,Kroger Field,96,Kentucky,SEC,fbs,12.0,"[3, 3, 3, 3]",0.20705104002487187,1563,1583.0,61,Georgia,SEC,fbs,13.0,"[0, 3, 3, 7]",0.7929489599751282,2066.0,2046.0,8.9509868466,,
401628352,2024,3,regular,2024-09-14T23:30:00.000Z,False,True,False,False,,3785,Jordan-Hare Stadium,2,Auburn,SEC,fbs,45.0,"[14, 3, 14, 14]",0.9974030594036278,1537,1569.0,167,New Mexico,Mountain West,fbs,19.0,"[10, 3, 0, 6]",0.002596940596372166,1228.0,1196.0,5.2477113604,,
401628356,2024,3,regular,2024-09-14T23:30:00.000Z,False,True,False,False,,3693,Davis Wade Stadium,344,Mississippi State,SEC,fbs,17.0,"[0, 3, 7, 7]",0.0004366823800092236,1440,1386.0,2649,Toledo,Mid-American,fbs,41.0,"[7, 21, 7, 6]",0.9995633176199907,1524.0,1578.0,2.3939678093,,
401628360,2024,3,regular,2024-09-14T23:45:00.000Z,False,True,False,False,,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,71.0,"[37, 28, 3, 3]",0.9989675661261332,1845,1964.0,2309,Kent State,Mid-American,fbs,0.0,"[0, 0, 0, 0]",0.001032433873866756,1108.0,989.0,2.464570702,,
401628367,2024,4,regular,2024-09-21T16:00:00.000Z,False,True,False,True,,3693,Davis Wade Stadium,344,Mississippi State,SEC,fbs,28.0,"[7, 7, 7, 7]",0.13027343637126163,1386,1355.0,57,Florida,SEC,fbs,45.0,"[7, 21, 7, 10]",0.8697265636287383,1485.0,1516.0,3.9425420269,,
401628364,2024,4,regular,2024-09-21T16:45:00.000Z,False,True,False,False,,3683,Kroger Field,96,Kentucky,SEC,fbs,41.0,"[3, 14, 10, 14]",0.9986568087619092,1583,1668.0,195,Ohio,Mid-American,fbs,6.0,"[0, 0, 0, 6]",0.0013431912380907907,1486.0,1401.0,3.2291517115,,
